red apples/nouns,description,set
The Green Bay Packers,"Twelve time National Football League world champions, beloved by ""Cheeseheads"" everywhere. Are those brats done yet?","[Basic Set, Party Set]"
The Gulf War,"January - February, 1991. This six week conflict with Iraq was also known as ""Desert Storm.""","[Basic Set, Party Set]"
The Indy 500,Contestants must drive the full 500 miles. Bathroom breaks ARE allowed.,"[Basic Set, Party Set]"
The JFK Assassination,"November 22, 1963. The funeral of President Kennedy was watched on television by millions around the world.","[Basic Set, Party Set]"
The KKK,"IF they're supposed to be the master race, why do they keep misspelling ""Clan""?","[Basic Set, Party Set]"
The Land Of Oz,"""I've a feeling we're not in Kansas anymore, Toto."" -Dorothy, ""The Wizard Of Oz""","[Basic Set, Party Set]"
The Mafia,"A loose association of criminal groups, bound by a blood oath and sworn to secrecy. Of course, now we have to kill you.","[Basic Set, Party Set]"
The Marx Brothers,"Chico, Groucho, Harpo, amd sometimes Zeppo. Their 1930s films include Duck Soup and Animal Crackers.","[Basic Set, Party Set]"
The Midwest,America's central plains states. They're not like folks 'round here ...,"[Basic Set, Party Set]"
The Milky Way,"The galaxy that includes the sun, its solar system, and a chewy layer of caramel.","[Basic Set, Party Set]"
The Mississippi River,"The Algonquin words ""Misi sipi"" mean ""big river."" What's Algonquin for ""muddy""?","[Basic Set, Party Set]"
The New York Yankees,"Legendary American baseball team. With so much success, it's obvious why they're reviled.","[Basic Set, Party Set]"
The NRA,National Rifle Association. They're gunning for your vote.,"[Basic Set, Party Set]"
The Ocean,"How deep is the ocean? 12,000 feet. If they'd known that, maybe they wouldn't have written that stupid song.","[Basic Set, Party Set]"
The Opera,"It ain't over 'til the fat lady sings. Unfortunately, sometimes, not even then.","[Basic Set, Party Set]"
The Pyramids,"The Egyptian pyramids were built from about 2700 BC to about 1000 BC. Tut, tut, tut ...","[Basic Set, Party Set]"
The Renaissance,"Beginning in the 1300s, started in Italy and spread across Europe. Kind of like Espresso bars ...","[Basic Set, Party Set]"
The Rolling Stones,"British ""bad boy"" rock band formed in 1962. Still touring?","[Basic Set, Party Set]"
The San Andreas Fault,Geological feature in California stretching 600 miles. Like the state doesn't have enough faults already.,"[Basic Set, Party Set]"
The South,Dixie: South of the Mason-Dixon line that is. They're not like folks 'round here ...,"[Basic Set, Party Set]"
The Statue Of Liberty,"""Give me your tired, your poor/ Your huddled masses yearning to breathe free ..."" -Emma Lazarus","[Basic Set, Party Set]"
The Universe,"Everything. The big ""It."" Huge. Massive. THAT big.","[Basic Set, Party Set]"
The Wright Brothers,"In 1903, Wilbur and Orville made the first powered airplane flights in history. Although there were delays at the airport.","[Basic Set, Party Set]"
Thomas Edison,"1847-1931, American inventor, developed a light bulb, generator, sound-recorder, and motion picture projector. Show off.","[Basic Set, Party Set]"
Thunder,"""Here it comes again, Thunder and Lightning..."" -ELO.","[Basic Set, Party Set]"
Top Of A Rollercoaster,Just remember: what goes UP ...,"[Basic Set, Party Set]"
Tornadoes,"Funnel-shaped cloud whirling destructively at speeds up to 300 mph. ""Honey, do you hear a freight train ... Honey?""","[Basic Set, Party Set]"
Toys,"They're not just for kids, anymore ...","[Basic Set, Party Set]"
Tree Huggers,"""Environmentalists"" to the left. ""Wackos"" to the right.","[Basic Set, Party Set]"
Tyrannosaurus Rex,"Large carnivorous dinosaur of the latter part of the Mesozoic era. My, what big teeth you have!","[Basic Set, Party Set]"
Underwear,"""Let's keep this brief.""","[Basic Set, Party Set]"
Wall Street,The financial center of the United States. See also: roller coaster.,"[Basic Set, Party Set]"
Walt Disney,"1901-1966, the head of some Mickey Mouse company.","[Basic Set, Party Set]"
Watching Football,Sheer athletic prowess by players in peak physical condition is a glorious thing to behold. Pass the chips and beer.,"[Basic Set, Party Set]"
Weddings,"""Ding, dong, the bells are gonna chime ..."" -My Fair Lady","[Basic Set, Party Set]"
Wheat,Mainly used in flour. World output of wheat is more than 600 million metric tons a year ... so someone's making a lot of dough.,"[Basic Set, Party Set]"
Whips,"""Crack that whip ... whip it, whip it good."" -Devo","[Basic Set, Party Set]"
Whoopie Goldberg,"1950-, American actor and comedian. Starred in such movies as Ghost, which earned her an Academy Award. Whoopee!","[Basic Set, Party Set]"
Will Smith,"1968- , Successful American rap star, TV star and wildly successful motion picture star. He's got it all. We hate him.","[Basic Set, Party Set]"
William Shakespeare,"1564-1616, The English poet and playwright. And all the world IS a stage ...","[Basic Set, Party Set]"
Wimbledon,Strawberries ... cream ... temper tantrums ...,"[Basic Set, Party Set]"
Windsurfing,Really just surfing for lazy people.,"[Basic Set, Party Set]"
Worms,"""A man may fish with the worm that hath eat of a king, and eat of the fish that has fed of that worm."" -""Hamlet"" Shakespeare","[Basic Set, Party Set]"
Yellowstone Park,"Home to 3000 geysers and hot springs. More gas and hot air than Washington, D.C.","[Basic Set, Party Set]"
Dennis Rodman,"1961- , American professional basketball player and full-time human oddity.",[Basic Set (1999 Printing Only)]
George W. Bush,"1946- , 43rd president of the United States. The second time ever that the son of a former president was elected to the office.","[Basic Set (2001 Printing Forward), Party Set]"
